ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Seconds to Label,External ID,Agreement,Dataset Name,Reviews,View Label
cjqzcwyz175n90772knk0widp,cjqz6fky904ro0cp0qb6p0w6q,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjp8dfyxkyqd60980fbwe4pao%2Fe971bce9-d71f-4256-a228-41d1b7b9aaa1%2F1.jpg?alt=media&token=c23e967c-ea7f-4c79-a476-a699c6443f86,"{""clover"":[{""geometry"":""POLYGON ((1400 1708, 1355 1800, 1340 1740, 1400 1708))""},{""clover_species"":""no_idea"",""geometry"":""POLYGON ((1699 1829, 1724 1884, 1764 1878, 1743 1834, 1699 1829))""}],""Tree"":[{""geometry"":""POLYGON ((1420 1873, 1375 1909, 1577 1933, 1531 1870, 1420 1873))""}]}",christoph.kratz@gmail.com,quadrat_tagger,1547653468000,45.497,1.jpg,,test_fullsize,[],https://image-segmentation-v4.labelbox.com?project=cjqz65ucpvbjo0777891z096u&label=cjqzcwyz175n90772knk0widp
cjqzcywqy766d0772x7dsndun,cjqz6fky904rs0cp0lr4tcsuf,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjp8dfyxkyqd60980fbwe4pao%2Fe971bce9-d71f-4256-a228-41d1b7b9aaa1%2F2.jpg?alt=media&token=da033fbd-abe1-43e1-9659-0f0483eeae8f,"{""clover"":[{""clover_species"":""no_idea"",""geometry"":""POLYGON ((2316 2368, 2299 2386, 2268 2419, 2314 2447, 2398 2421, 2369 2376, 2316 2368))""},{""clover_species"":""no_idea"",""geometry"":""POLYGON ((2490 2416, 2464 2439, 2477 2484, 2520 2459, 2490 2416))""}],""Tree"":[{""geometry"":""POLYGON ((2057 2505, 2025 2548, 2111 2559, 2057 2505))""},{""geometry"":""POLYGON ((2096 2307, 2077 2335, 2096 2368, 2130 2353, 2096 2307))""}]}",christoph.kratz@gmail.com,quadrat_tagger,1547653559000,89.849,2.jpg,,test_fullsize,[],https://image-segmentation-v4.labelbox.com?project=cjqz65ucpvbjo0777891z096u&label=cjqzcywqy766d0772x7dsndun
cjqzczc8tk3ph0818c84lr6j0,cjqz6fky904rw0cp0t0eobmrs,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjp8dfyxkyqd60980fbwe4pao%2Fe971bce9-d71f-4256-a228-41d1b7b9aaa1%2F3.jpg?alt=media&token=96a7807d-179a-4fc7-b072-d352518a1f5a,"{""stuff"":[{""geometry"":""POLYGON ((1491 1364, 1491 1382, 1483 1382, 1483 1364, 1491 1364))""}]}",christoph.kratz@gmail.com,quadrat_tagger,1547653579000,19.516,3.jpg,,test_fullsize,[],https://image-segmentation-v4.labelbox.com?project=cjqz65ucpvbjo0777891z096u&label=cjqzczc8tk3ph0818c84lr6j0
cjrqibhir0tto0898qon459j8,cjqz6fky904s00cp07q0l6w8n,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjp8dfyxkyqd60980fbwe4pao%2Fe971bce9-d71f-4256-a228-41d1b7b9aaa1%2F4.jpg?alt=media&token=78f0b1a9-0465-4553-b52f-8886f69026ce,Skip,christoph.kratz@gmail.com,quadrat_tagger,1549295130000,17226.013,4.jpg,,test_fullsize,[],https://image-segmentation-v4.labelbox.com?project=cjqz65ucpvbjo0777891z096u&label=cjrqibhir0tto0898qon459j8
cjrqibl8p0js20b47xp2bbkyy,cjqz6fky904s40cp0r1ie9k5h,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjp8dfyxkyqd60980fbwe4pao%2Fe971bce9-d71f-4256-a228-41d1b7b9aaa1%2F5.jpg?alt=media&token=16122651-e0a6-4044-a733-6e024cdbafc7,Skip,christoph.kratz@gmail.com,quadrat_tagger,1549295135000,3.975,5.jpg,,test_fullsize,[],https://image-segmentation-v4.labelbox.com?project=cjqz65ucpvbjo0777891z096u&label=cjrqibl8p0js20b47xp2bbkyy
cjrqibreu0u1j089832s42oe4,cjqz6fky904s80cp00sfhp6ed,https://firebasestorage.googleapis.com/v0/b/labelbox-193903.appspot.com/o/cjp8dfyxkyqd60980fbwe4pao%2Fe971bce9-d71f-4256-a228-41d1b7b9aaa1%2F6.jpg?alt=media&token=ade54713-6bd4-48b0-a420-a746abf5a21d,Skip,christoph.kratz@gmail.com,quadrat_tagger,1549295143000,6.926,6.jpg,,test_fullsize,[],https://image-segmentation-v4.labelbox.com?project=cjqz65ucpvbjo0777891z096u&label=cjrqibreu0u1j089832s42oe4
cjrriqja7mhhw0898qb6d7pvm,cjrrioxopwmuw0anvnv3fyl7j,https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao/2e163ce0-4c66-a180-fdec-beb2d437244a-pic_s01_2017_ne_q01-alsiclov_crimclov_redclov_birdtref_muskmall.png,Skip,christoph.kratz@gmail.com,quadrat_tagger,1549356299000,39.847,pic_s01_2017_ne_q01-alsiclov_crimclov_redclov_birdtref_muskmall.png,1,PBR_Images_at_Feb2019,[],https://image-segmentation-v4.labelbox.com?project=cjqz65ucpvbjo0777891z096u&label=cjrriqja7mhhw0898qb6d7pvm
cjrriqvwvmcjn0b473m9unbsu,cjrrioxopwmv00anvai1woygg,https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao/59722286-f78b-a695-3e19-2207dc08d055-pic_s01_2017_ne_q02-alsiclov_crimclov_redclov_birdtref_muskmall_phacelia.png,Skip,christoph.kratz@gmail.com,quadrat_tagger,1549356315000,15.815,pic_s01_2017_ne_q02-alsiclov_crimclov_redclov_birdtref_muskmall_phacelia.png,1,PBR_Images_at_Feb2019,[],https://image-segmentation-v4.labelbox.com?project=cjqz65ucpvbjo0777891z096u&label=cjrriqvwvmcjn0b473m9unbsu
cjrrir2kumcva0b47sdwbtmjz,cjrrioxopwmv40anvsobeze0h,https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao/2eff6275-88a9-8068-a0a7-d4c2ab105a26-pic_s01_2017_ne_q03-alsiclov_crimclov_redclov_birdtref_phacelia.png,Skip,christoph.kratz@gmail.com,quadrat_tagger,1549356324000,8.164,pic_s01_2017_ne_q03-alsiclov_crimclov_redclov_birdtref_phacelia.png,1,PBR_Images_at_Feb2019,[],https://image-segmentation-v4.labelbox.com?project=cjqz65ucpvbjo0777891z096u&label=cjrrir2kumcva0b47sdwbtmjz
cjrrlsesxpjjn0898ro8nw5eb,cjrrioxoqwmv80anv4jm1aubq,https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao/6170e253-f83f-7623-d281-c6cc128eba30-pic_s01_2017_ne_q04-alsiclov_crimclov_redclov_sainfoin_birdtref.png,{},christoph.kratz@gmail.com,quadrat_tagger,1549361425000,10.86,pic_s01_2017_ne_q04-alsiclov_crimclov_redclov_sainfoin_birdtref.png,0,PBR_Images_at_Feb2019,[],https://image-segmentation-v4.labelbox.com?project=cjqz65ucpvbjo0777891z096u&label=cjrrlsesxpjjn0898ro8nw5eb
cjrrlxc7ipnyk08984pkfgko6,cjrrioxoqwmvc0anvyfuu1a80,https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao/c0261cbf-d25e-9aa0-ca7d-0a4956fc230c-pic_s01_2017_ne_q05-alsiclov_crimclov_redclov_birdtref_blacknap_muskmall_phacelia.png,"{""clover"":[{""clover_species"":""species_not_known"",""geometry"":""POLYGON ((305 353, 305 373, 330 373, 330 353, 305 353))""},{""clover_species"":""species_not_known"",""geometry"":""POLYGON ((330 384, 330 403, 349 403, 349 384, 330 384))""},{""clover_species"":""crimson"",""geometry"":""POLYGON ((810 191, 810 203, 822 203, 822 191, 810 191))""},{""clover_species"":""crimson"",""geometry"":""POLYGON ((818 221, 818 234, 829 234, 829 221, 818 221))""}],""phacelia"":[{""geometry"":""POLYGON ((352 476, 352 501, 380 501, 380 476, 352 476))""},{""geometry"":""POLYGON ((353 514, 353 553, 387 553, 387 514, 353 514))""},{""geometry"":""POLYGON ((406 520, 406 497, 375 497, 375 520, 406 520))""}]}",christoph.kratz@gmail.com,quadrat_tagger,1549361655000,227.768,pic_s01_2017_ne_q05-alsiclov_crimclov_redclov_birdtref_blacknap_muskmall_phacelia.png,0,PBR_Images_at_Feb2019,[],https://image-segmentation-v4.labelbox.com?project=cjqz65ucpvbjo0777891z096u&label=cjrrlxc7ipnyk08984pkfgko6
cjrrm3wszpolf0b47eyth1m6t,cjrrioxoqwmvg0anvedrx9r2i,https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao/d830ca29-e8bb-fcb2-1095-4c7917ff2a68-pic_s01_2017_ne_q06-alsiclov_muskmall_phacelia.png,"{""not a flowerhead"":[{""geometry"":""POLYGON ((423 232, 423 260, 446 260, 446 232, 423 232))""},{""geometry"":""POLYGON ((528 302, 528 325, 565 325, 565 302, 528 302))""},{""geometry"":""POLYGON ((576 256, 576 303, 611 303, 611 256, 576 256))""},{""geometry"":""POLYGON ((500 332, 500 356, 528 356, 528 332, 500 332))""},{""geometry"":""POLYGON ((400 380, 400 417, 433 417, 433 380, 400 380))""},{""geometry"":""POLYGON ((645 103, 645 150, 687 150, 687 103, 645 103))""},{""geometry"":""POLYGON ((770 169, 770 202, 800 202, 800 169, 770 169))""},{""geometry"":""POLYGON ((631 173, 631 202, 668 202, 668 173, 631 173))""},{""geometry"":""POLYGON ((699 293, 699 314, 732 314, 732 293, 699 293))""},{""geometry"":""POLYGON ((722 268, 722 287, 754 287, 754 268, 722 268))""},{""geometry"":""POLYGON ((970 490, 970 524, 1016 524, 1016 490, 970 490))""},{""geometry"":""POLYGON ((772 65, 772 98, 809 98, 809 65, 772 65))""}],""musk mallow"":[{""geometry"":""POLYGON ((335 323, 335 291, 291 291, 291 323, 335 323))""}],""phacelia"":[{""geometry"":""POLYGON ((471 425, 471 447, 494 447, 494 425, 471 425))""},{""geometry"":""POLYGON ((514 472, 514 448, 489 448, 489 472, 514 472))""},{""geometry"":""POLYGON ((517 403, 517 435, 555 435, 555 403, 517 403))""},{""geometry"":""POLYGON ((532 455, 532 486, 556 486, 556 455, 532 455))""},{""geometry"":""POLYGON ((567 474, 567 505, 591 505, 591 474, 567 474))""},{""geometry"":""POLYGON ((577 386, 577 405, 596 405, 596 386, 577 386))""},{""geometry"":""POLYGON ((567 421, 567 449, 598 449, 598 421, 567 421))""},{""geometry"":""POLYGON ((617 394, 617 423, 595 423, 595 394, 617 394))""},{""geometry"":""POLYGON ((664 391, 664 421, 631 421, 631 391, 664 391))""},{""geometry"":""POLYGON ((654 458, 654 417, 676 417, 676 458, 654 458))""},{""geometry"":""POLYGON ((751 429, 751 454, 715 454, 715 429, 751 429))""},{""geometry"":""POLYGON ((693 488, 693 510, 645 510, 645 488, 693 488))""},{""geometry"":""POLYGON ((408 491, 408 520, 447 520, 447 491, 408 491))""}]}",christoph.kratz@gmail.com,quadrat_tagger,1549361962000,215.209,pic_s01_2017_ne_q06-alsiclov_muskmall_phacelia.png,0.10961,PBR_Images_at_Feb2019,[],https://image-segmentation-v4.labelbox.com?project=cjqz65ucpvbjo0777891z096u&label=cjrrm3wszpolf0b47eyth1m6t
cjrrmbh9rpu8j0b477b3ax4uy,cjrrioxoqwmvk0anv4ndttbh5,https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao/b9bc7226-4a46-f9e4-1540-68fd812e47d8-pic_s01_2017_ne_q07-alsiclov_crimclov_redclov_birdtref_blacknap_muskmall_phacelia.png,"{""not a flowerhead"":[{""geometry"":""POLYGON ((608 430, 608 451, 627 451, 627 430, 608 430))""},{""geometry"":""POLYGON ((603 493, 603 483, 588 483, 588 493, 603 493))""}],""phacelia"":[{""geometry"":""POLYGON ((357 458, 357 481, 371 481, 371 458, 357 458))""},{""geometry"":""POLYGON ((376 491, 376 465, 394 465, 394 491, 376 491))""},{""geometry"":""POLYGON ((353 491, 353 508, 371 508, 371 491, 353 491))""},{""geometry"":""POLYGON ((388 508, 388 520, 397 520, 397 508, 388 508))""},{""geometry"":""POLYGON ((421 428, 421 448, 437 448, 437 428, 421 428))""},{""geometry"":""POLYGON ((467 402, 467 432, 498 432, 498 402, 467 402))""},{""geometry"":""POLYGON ((470 452, 470 486, 502 486, 502 452, 470 452))""},{""geometry"":""POLYGON ((528 427, 528 442, 544 442, 544 427, 528 427))""},{""geometry"":""POLYGON ((536 501, 536 521, 557 521, 557 501, 536 501))""},{""geometry"":""POLYGON ((542 485, 542 509, 572 509, 572 485, 542 485))""},{""geometry"":""POLYGON ((629 469, 629 494, 647 494, 647 469, 629 469))""},{""geometry"":""POLYGON ((574 502, 574 517, 588 517, 588 502, 574 502))""},{""geometry"":""POLYGON ((657 499, 657 487, 644 487, 644 499, 657 499))""},{""geometry"":""POLYGON ((664 462, 664 481, 683 481, 683 462, 664 462))""},{""geometry"":""POLYGON ((533 390, 533 404, 550 404, 550 390, 533 390))""},{""geometry"":""POLYGON ((567 430, 567 439, 582 439, 582 430, 567 430))""}],""Draw the Quadrat"":[{""geometry"":""POLYGON ((267 197, 654 205, 825 533, 209 594, 267 197))""}]}",christoph.kratz@gmail.com,quadrat_tagger,1549362315000,212.411,pic_s01_2017_ne_q07-alsiclov_crimclov_redclov_birdtref_blacknap_muskmall_phacelia.png,0,PBR_Images_at_Feb2019,[],https://image-segmentation-v4.labelbox.com?project=cjqz65ucpvbjo0777891z096u&label=cjrrmbh9rpu8j0b477b3ax4uy
cjrrmf2g6pxdp0b47dupigq0q,cjrrioxoqwmvo0anvkyp1acov,https://storage.googleapis.com/labelbox-193903.appspot.com/cjp8dfyxkyqd60980fbwe4pao/cbf818d8-2ca4-18dd-1db1-982ec4db35d9-pic_s01_2017_ne_q08-alsiclov_crimclov_redclov_sainfoin_birdtref_muskmall_phacelia.png,"{""not a flowerhead"":[{""geometry"":""POLYGON ((563 313, 563 328, 584 328, 584 313, 563 313))""},{""geometry"":""POLYGON ((580 259, 580 286, 598 286, 598 259, 580 259))""},{""geometry"":""POLYGON ((454 349, 454 380, 497 380, 497 349, 454 349))""},{""geometry"":""POLYGON ((628 359, 628 383, 657 383, 657 359, 628 359))""},{""geometry"":""POLYGON ((388 182, 388 208, 421 208, 421 182, 388 182))""},{""geometry"":""POLYGON ((398 490, 398 549, 445 549, 445 490, 398 490))""},{""geometry"":""POLYGON ((350 462, 350 488, 380 488, 380 462, 350 462))""},{""geometry"":""POLYGON ((272 417, 272 462, 320 462, 320 417, 272 417))""},{""geometry"":""POLYGON ((509 547, 509 566, 518 566, 518 547, 509 547))""},{""geometry"":""POLYGON ((183 605, 183 626, 202 626, 202 605, 183 605))""},{""geometry"":""POLYGON ((204 510, 204 535, 240 535, 240 510, 204 510))""}],""phacelia"":[{""geometry"":""POLYGON ((451 428, 451 445, 470 445, 470 428, 451 428))""},{""geometry"":""POLYGON ((492 454, 492 477, 519 477, 519 454, 492 454))""},{""geometry"":""POLYGON ((508 215, 508 233, 526 233, 526 215, 508 215))""},{""geometry"":""POLYGON ((344 146, 344 156, 363 156, 363 146, 344 146))""}],""Draw the Quadrat"":[{""geometry"":""POLYGON ((314 94, 193 612, 943 594, 794 75, 314 94))""}]}",christoph.kratz@gmail.com,quadrat_tagger,1549362482000,165.68,pic_s01_2017_ne_q08-alsiclov_crimclov_redclov_sainfoin_birdtref_muskmall_phacelia.png,0,PBR_Images_at_Feb2019,[],https://image-segmentation-v4.labelbox.com?project=cjqz65ucpvbjo0777891z096u&label=cjrrmf2g6pxdp0b47dupigq0q
